   Address    Size   nameS          FileAddr             Name   File
  7e8ebaa0      f0      16          2b695ca0         USBPORT.SYS   \SystemRoot\system32\DRIVERS\USBPORT.SYS
  7e8fc7b0      e0      14          2b689010          CmBatt.sys   \SystemRoot\system32\DRIVERS\CmBatt.sys
  7e8fce40      e0      16          2b695e10         usbehci.sys   \SystemRoot\system32\DRIVERS\usbehci.sys
  7ea93470      e0      16          2d416940         raspptp.sys   \SystemRoot\system32\DRIVERS\raspptp.sys
  7ea93660      e0      14          2b73d100          rdpbus.sys   \SystemRoot\system32\DRIVERS\rdpbus.sys
  7ea96dd0      e0      16          2766e230         rassstp.sys   \SystemRoot\system32\DRIVERS\rassstp.sys
  7ea9d1f0      e0       c          275ea350              ks.sys   \SystemRoot\system32\DRIVERS\ks.sys
  7ea9ed40      e0      14          2b683a70          swenum.sys   \SystemRoot\system32\DRIVERS\swenum.sys
  7ea9f820      e0      12          275ea250           umbus.sys   \SystemRoot\system32\DRIVERS\umbus.sys
  7eb5f880      e0      10          2b7392d0            USBD.SYS   \SystemRoot\system32\DRIVERS\USBD.SYS
  7eb5ff10      f0      10          2b655e30            udfs.sys   \SystemRoot\system32\DRIVERS\udfs.sys
  7eb75b70      e0      16          2d5c4d20         BthEnum.sys   \SystemRoot\system32\DRIVERS\BthEnum.sys
  7eb7c4b0      e0      14          2d463480          rfcomm.sys   \SystemRoot\system32\DRIVERS\rfcomm.sys
  7eb8f4d0      e0      16          2c816ac0         usbccgp.sys   \SystemRoot\system32\DRIVERS\usbccgp.sys
  7eb93590      f0      16          2cd668c0         bthport.sys   \SystemRoot\System32\Drivers\bthport.sys
  7eba25d0      f0      18          2b739340        HIDPARSE.SYS   \SystemRoot\system32\DRIVERS\HIDPARSE.SYS
  7ebaec60      f0      18          27316b60        HIDCLASS.SYS   \SystemRoot\system32\DRIVERS\HIDCLASS.SYS
  7ebb6990      e0      14          2d45a2f0          mouhid.sys   \SystemRoot\system32\DRIVERS\mouhid.sys
  7ebba880      e0      14          275eabe0          bthpan.sys   \SystemRoot\system32\DRIVERS\bthpan.sys
  7ebd1320      f0      22          2ca57930   dump_storport.sys   \SystemRoot\System32\Drivers\dump_diskdump.sys
  7ebe92e0      e0      14          2b739fb0          wfplwf.sys   \SystemRoot\system32\DRIVERS\wfplwf.sys
  7ebee680      e0      14          2719f490          srvnet.sys   \SystemRoot\System32\DRIVERS\srvnet.sys
  7ecc5f10      f0      18          2b689e30        mrxsmb10.sys   \SystemRoot\system32\DRIVERS\mrxsmb10.sys
  7ecd0000      e0      14          271e3a60          bowser.sys   \SystemRoot\system32\DRIVERS\bowser.sys
  7ecd4cb0      e0      14          27392150          mpsdrv.sys   \SystemRoot\System32\drivers\mpsdrv.sys
  7ecdb410      e0      14          72616b80          mrxsmb.sys   a{á X{á X{á +{á 				(Required 6c8eeb80, code did lvl3, lvl4 required)
  7ed41c70      f0      14          72616ab0          peauth.sys   +Ç 
  7ed63360      e0      14          2719f560          secdrv.SYS   \SystemRoot\System32\Drivers\secdrv.SYS
  7ee09980      e0      14          2b739010          hidusb.sys   \SystemRoot\system32\DRIVERS\hidusb.sys
  7ee635f0      e0      10          2cd66530            Null.SYS   \SystemRoot\System32\Drivers\Null.SYS
  7f0dc950      f0      12          2c99d350           spsys.sys   \SystemRoot\system32\drivers\spsys.sys
  7f2f1a00      f0      18          2cdffbe0        intelppm.sys   \SystemRoot\system32\DRIVERS\intelppm.sys
  7f306b30      f0      20          2b683490    CompositeBus.sys   \SystemRoot\system32\DRIVERS\CompositeBus.sys
